Feature ID	Taxon	Confidence
07bcc411c3c13b83237c3ecbb8ed7625	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales	0.99645040847601
ec19b8e73353dee2a2ec4eaeb514ff02	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium-Methylorubrum	0.9996182291554824
cf9e0b8e77631d1023603b388c05b1d3	Unassigned	0.9560354888658291
9501645525268ebb831ee301fa861af9	d__Bacteria	0.8472854240829271
84877ea2c4a3d658bce7cb412b1f5271	d__Bacteria	0.8464246951360331
f0cb8aacb0c134644505cf72dd5ce341	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia	0.9940743013631481
65513652cab642fde16be463c6af2361	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae	0.9971207507657728
49f73bb76241deab8b05a2f93491bbef	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus	0.9999798357483745
ac85ad6b07c57a926e3158ca2c3bde12	d__Bacteria	0.9066038286933619
cfe94ec79d5074d852d57640175a0d17	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella	0.9641981938903318
fe53524d3d65bd1d281fbba37795b3f7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	0.9684431273888013
63ee0d4a38cc7e76c1c00aa15abfe38a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales	0.9323362900688935
1a714dab5147cd3128700054258ea9e7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Pelomonas	0.7877973183609974
